id_cliente,id_tipo_soporte,contacto_cliente,fecha_soporte,id_calificación
23,6,835-03-6332,2023-02-17,5
19,3,379-09-8583,2023-02-15,2
43,5,350-53-8853,2023-02-08,1
78,6,281-62-3721,2023-05-05,2
37,2,141-74-7345,2023-04-19,4
66,6,615-16-6747,2023-04-19,4
96,6,634-80-7737,2023-03-24,4
38,5,832-42-6214,2023-01-23,4
11,2,125-07-5210,2023-03-03,5
95,3,423-12-7638,2023-01-06,1
4,4,850-89-8871,2023-04-29,2
26,5,153-86-5205,2023-05-01,4
96,6,503-79-6386,2023-04-15,5
40,4,143-60-7924,2023-05-23,2
68,6,166-32-0560,2023-02-05,5
84,6,730-14-3123,2023-01-08,2
69,3,284-01-6679,2023-02-26,4
80,6,277-46-3147,2023-01-06,1
59,1,786-98-5023,2023-01-15,1
59,3,619-42-9880,2023-02-21,1
35,4,885-75-3188,2023-02-01,2
38,1,318-13-7706,2023-03-16,2
79,1,357-86-7715,2023-04-26,5
88,3,113-66-0650,2023-04-18,3
94,2,608-68-1763,2023-02-14,5
52,2,403-78-8384,2023-03-08,5
38,4,524-13-1354,2023-04-21,2
18,3,147-47-9296,2023-03-10,2
83,6,882-51-2880,2023-02-28,1
26,1,313-82-1014,2023-03-17,5
56,5,453-29-4569,2023-01-01,2
26,2,387-52-4787,2023-02-03,4
35,1,261-19-6273,2023-02-08,1
57,5,167-98-6975,2023-02-28,3
11,5,259-73-6708,2023-03-29,4
94,4,415-65-1146,2023-01-17,1
18,5,721-97-3231,2023-01-21,3
8,6,456-10-7310,2023-01-22,3
72,4,567-29-2543,2023-04-22,2
37,6,199-82-6780,2023-05-10,3
70,3,328-41-4026,2023-05-16,3
96,1,325-07-3315,2023-03-22,4
64,5,351-64-9437,2023-02-10,2
80,4,894-52-2182,2023-03-11,3
55,1,425-53-8857,2023-01-02,2
78,4,472-42-4499,2023-05-20,4
24,2,353-89-9212,2023-05-23,2
11,1,122-59-1466,2023-01-15,1
55,2,355-26-9466,2023-03-30,3
12,5,655-14-4120,2023-02-21,5
89,1,805-57-2385,2023-02-25,3
43,1,752-56-4338,2023-03-30,3
62,5,548-95-5290,2023-01-03,5
33,3,414-48-5698,2023-04-30,4
1,4,719-01-6817,2023-03-02,2
27,3,763-18-1933,2023-01-13,4
59,5,837-05-8454,2023-05-01,5
93,4,354-48-7454,2023-04-25,2
89,6,668-54-7638,2023-02-18,3
68,4,201-27-2473,2023-05-04,5
70,3,526-27-2625,2023-03-11,1
77,4,815-68-2156,2023-03-05,2
73,5,540-04-3317,2023-02-06,2
90,4,203-79-3350,2023-03-08,5
75,5,640-26-9804,2023-03-21,4
8,5,213-75-9707,2023-05-19,2
20,6,196-81-6905,2023-05-09,2
15,1,281-09-5278,2023-01-03,2
37,4,148-79-4834,2023-04-05,5
12,1,479-04-4441,2023-01-25,4
24,1,531-91-7342,2023-01-08,5
89,1,817-43-7510,2023-02-06,4
6,4,197-05-8193,2023-04-28,5
48,5,845-80-6397,2023-05-11,4
56,2,289-14-2478,2023-01-28,2
31,4,279-66-1307,2023-02-26,2
23,3,418-87-7389,2023-03-09,2
79,5,639-54-3320,2023-01-10,4
36,4,403-91-1461,2023-02-11,3
72,5,399-82-3264,2023-01-02,4
1,2,131-73-4820,2023-05-01,4
54,3,266-35-3078,2023-03-17,3
51,4,513-43-8674,2023-04-02,2
10,1,667-87-0140,2023-05-22,5
56,6,104-52-6706,2023-01-15,4
70,5,647-12-0824,2023-01-24,4
13,2,837-98-1872,2023-03-15,5
36,2,886-56-3598,2023-03-25,5
15,3,636-24-9445,2023-04-21,5
4,4,646-29-9598,2023-03-08,3
61,6,441-76-6580,2023-01-02,4
60,1,700-03-5970,2023-03-06,1
55,6,405-38-0379,2023-02-03,4
19,2,561-75-6704,2023-01-20,4
21,6,326-70-6724,2023-05-09,3
72,4,806-24-0847,2023-03-22,2
45,2,324-85-5960,2023-03-20,1
28,3,452-31-5495,2023-02-05,4
13,2,778-83-1439,2023-03-26,4
50,1,382-49-1054,2023-05-17,4
58,5,174-92-6322,2023-02-22,1
81,2,277-48-3393,2023-01-11,2
61,6,476-35-7620,2023-05-23,1
48,4,665-78-1511,2023-01-05,4
62,2,845-89-6874,2023-01-14,5
39,2,707-53-0174,2023-05-14,5
26,6,216-02-2482,2023-01-17,2
94,4,638-63-9657,2023-03-02,4
17,2,166-49-5095,2023-03-28,2
35,6,545-55-8039,2023-03-06,4
47,1,502-44-2103,2023-02-11,2
26,2,355-47-8223,2023-01-20,5
37,1,641-79-9542,2023-04-10,1
18,3,165-78-9285,2023-01-04,3
56,5,354-90-1121,2023-04-24,1
58,6,289-87-7955,2023-03-31,5
43,4,380-29-3514,2023-03-12,4
50,5,456-48-0775,2023-02-07,5
77,4,465-32-6863,2023-03-24,1
13,2,174-77-0547,2023-04-22,1
52,3,475-15-6882,2023-03-12,4
50,3,156-41-5882,2023-04-17,3
74,2,115-80-9663,2023-01-04,5
64,1,747-37-3087,2023-03-22,3
52,2,334-54-7182,2023-01-13,2
34,4,129-60-1115,2023-02-12,5
38,1,104-75-8496,2023-02-06,4
16,3,734-63-8633,2023-03-21,4
85,4,368-73-7868,2023-03-14,4
5,2,230-12-6181,2023-04-01,2
89,2,540-88-0152,2023-05-05,2
98,2,806-85-9870,2023-04-04,5
61,6,370-93-0426,2023-04-05,2
92,2,457-62-4676,2023-02-07,1
1,3,872-64-0797,2023-01-14,5
22,3,321-01-7943,2023-03-02,1
22,2,654-40-5228,2023-04-14,1
50,2,447-55-1988,2023-04-24,3
24,6,334-24-5143,2023-05-19,5
49,6,765-97-0262,2023-02-19,1
33,4,367-19-3494,2023-03-29,2
69,4,523-11-9467,2023-03-03,2
61,4,262-08-3946,2023-05-12,2
35,4,339-77-2255,2023-02-08,3
31,2,142-38-1984,2023-01-29,1
78,4,456-29-9312,2023-01-12,2
14,5,355-07-1550,2023-04-07,2
85,1,860-60-8509,2023-03-20,3
32,3,812-60-5388,2023-04-13,2
49,6,784-93-5139,2023-05-11,4
83,3,722-11-8990,2023-03-23,1
60,5,302-69-4913,2023-02-03,5
66,4,535-48-6686,2023-01-02,1
40,1,791-59-7070,2023-01-17,3
69,5,339-24-6988,2023-04-21,3
78,5,869-70-2505,2023-03-21,2
20,3,701-53-8440,2023-01-01,5
55,6,722-69-8014,2023-03-22,3
14,5,480-55-9294,2023-05-20,4
62,4,563-10-6698,2023-03-27,1
51,5,472-86-5151,2023-01-26,1
43,1,861-14-2691,2023-04-09,3
73,3,162-03-8603,2023-04-04,1
98,3,665-92-3645,2023-05-22,5
50,2,152-83-0610,2023-02-13,1
94,3,784-48-6837,2023-04-18,3
6,3,636-18-3995,2023-01-08,2
65,2,703-18-1499,2023-02-19,4
8,1,615-79-9633,2023-01-19,1
49,3,368-45-1918,2023-04-10,3
35,4,596-08-1323,2023-01-28,5
29,3,107-36-6744,2023-04-27,2
36,5,670-27-9319,2023-02-20,3
45,3,720-91-6319,2023-03-18,4
56,1,499-37-8576,2023-02-15,2
26,2,247-41-9266,2023-05-21,1
46,1,381-11-9929,2023-03-12,1
96,5,139-70-0432,2023-01-08,3
28,4,530-91-2049,2023-02-19,3
16,5,237-41-8199,2023-05-15,1
14,5,688-62-8887,2023-02-11,4
34,5,788-63-8871,2023-03-01,2
54,2,472-33-5774,2023-01-20,3
30,2,261-29-5827,2023-05-15,1
27,5,874-75-2730,2023-05-03,4
32,3,686-75-8307,2023-01-28,2
58,3,770-57-4725,2023-04-19,2
86,4,410-25-2099,2023-04-23,5
17,4,444-95-2126,2023-01-02,2
64,2,713-53-3423,2023-05-16,2
88,1,382-29-1295,2023-03-03,5
89,3,881-22-8559,2023-05-14,5
3,3,675-47-6124,2023-04-28,4
33,3,671-33-7102,2023-05-17,1
94,1,132-64-2862,2023-02-25,2
27,3,669-57-7385,2023-01-11,5
54,1,479-87-7830,2023-01-25,4
39,3,136-50-2756,2023-01-12,5
44,1,835-30-3790,2023-05-13,2
71,6,378-81-0738,2023-04-03,2
13,2,433-02-2017,2023-03-07,1
52,3,876-12-3714,2023-03-06,5
15,2,168-29-2608,2023-03-21,2
52,3,469-51-4378,2023-04-19,1
70,6,176-62-4812,2023-04-17,5
2,3,230-31-4389,2023-05-05,2
64,6,131-11-6706,2023-04-01,4
43,3,389-82-5084,2023-03-31,1
15,1,692-12-2005,2023-05-08,1
77,4,864-49-9276,2023-02-12,5
51,3,294-21-3844,2023-05-08,3
13,4,334-97-1900,2023-05-19,1
97,6,579-30-9819,2023-02-10,2
92,3,145-82-8992,2023-04-05,5
34,3,446-13-4985,2023-03-04,2
21,4,419-59-7073,2023-05-14,4
10,2,360-54-8213,2023-05-22,2
21,4,670-98-6919,2023-03-06,2
47,5,820-75-7424,2023-04-02,1
6,4,742-21-6501,2023-03-08,1
50,5,863-73-7255,2023-05-06,2
63,6,107-17-9202,2023-05-17,3
43,5,304-71-8341,2023-01-18,3
55,3,474-07-3110,2023-05-09,1
26,2,239-14-9124,2023-04-07,1
43,2,360-61-2434,2023-04-11,4
79,3,473-94-9613,2023-04-24,3
58,2,376-16-0371,2023-01-17,4
84,4,201-26-2004,2023-03-29,2
48,5,142-51-7619,2023-02-19,5
16,3,433-35-9439,2023-01-08,5
48,1,190-21-8172,2023-04-11,1
88,3,590-79-3796,2023-01-13,4
23,3,813-57-1626,2023-02-21,5
59,1,482-05-2045,2023-01-14,4
75,4,303-93-6281,2023-04-29,2
64,2,654-88-8830,2023-01-02,3
80,4,493-01-6045,2023-03-17,4
26,4,622-53-3416,2023-04-26,2
79,2,445-57-7484,2023-02-21,2
26,5,151-39-2241,2023-01-09,2
77,2,723-53-7243,2023-04-17,4
27,3,353-59-5033,2023-03-06,4
75,1,211-46-5902,2023-03-03,4
2,1,449-32-9727,2023-01-20,3
56,1,804-48-1615,2023-02-04,3
20,2,703-43-9811,2023-05-11,2
95,1,209-19-4675,2023-03-31,4
26,4,284-69-7143,2023-04-25,5
69,6,357-85-7451,2023-02-17,2
23,3,840-78-8761,2023-01-10,1
18,4,892-44-0276,2023-03-08,2
49,4,401-66-9520,2023-02-24,1
97,4,854-65-6524,2023-01-06,1
4,6,608-76-1552,2023-03-25,2
1,4,202-23-9157,2023-03-30,2
75,2,639-29-6045,2023-04-17,5
13,6,836-94-0482,2023-02-10,2
95,3,883-18-2035,2023-01-12,1
21,6,129-89-8975,2023-02-19,2
66,6,258-53-4464,2023-04-25,3
47,5,120-03-7969,2023-03-27,3
66,6,535-32-5847,2023-03-12,2
15,4,879-35-3272,2023-01-07,3
85,3,697-51-5735,2023-01-02,4
54,3,613-74-0231,2023-03-19,4
95,4,436-38-9967,2023-02-17,1
37,4,840-77-2740,2023-05-03,5
2,6,127-45-6563,2023-02-17,3
72,3,792-18-8548,2023-03-12,2
13,2,835-28-0391,2023-02-23,5
3,1,774-62-8415,2023-05-17,5
66,4,382-69-0908,2023-05-10,4
86,1,690-68-7279,2023-05-19,3
8,4,495-12-3919,2023-03-18,5
98,6,559-07-5203,2023-02-03,2
71,2,696-93-8618,2023-04-30,5
89,6,694-45-0387,2023-04-20,2
84,4,791-28-5726,2023-03-18,4
78,1,844-55-9111,2023-03-09,5
21,5,249-18-2216,2023-02-09,1
80,5,514-02-0180,2023-02-07,4
77,6,817-25-8049,2023-02-10,5
6,4,598-86-0300,2023-05-01,4
29,6,188-50-8613,2023-02-08,3
36,1,450-27-3043,2023-01-20,3
87,6,228-26-7864,2023-04-03,4
62,5,509-82-4044,2023-04-13,3
2,6,458-60-8729,2023-01-25,2
73,3,152-06-2956,2023-03-03,2
27,4,776-81-4911,2023-02-25,1
53,6,341-10-2841,2023-05-07,3
15,3,249-55-2024,2023-05-15,4
93,5,731-77-5898,2023-04-09,5
94,2,732-04-0852,2023-05-23,4
98,4,397-46-6432,2023-03-26,5
63,6,466-31-7796,2023-03-05,2
85,1,818-63-6470,2023-04-04,2
34,2,331-04-7698,2023-03-14,3
64,5,210-56-9082,2023-05-18,1
79,5,163-43-3433,2023-05-06,2
93,4,219-66-3897,2023-03-12,4
86,6,333-97-5420,2023-04-21,4
64,6,240-18-5607,2023-01-24,4
20,5,431-22-8806,2023-02-26,2
53,6,831-08-1793,2023-01-08,3
18,1,190-53-3027,2023-04-13,1
79,3,814-30-1157,2023-03-28,5
53,2,763-51-9041,2023-05-19,1
8,1,852-62-0326,2023-05-06,3
97,3,738-20-8074,2023-01-07,2
13,1,271-47-8273,2023-02-18,5
26,1,453-58-9687,2023-01-23,4
95,5,234-37-8042,2023-05-02,2
40,1,691-32-3136,2023-02-06,2
10,6,461-23-8315,2023-01-03,3
44,5,853-67-9451,2023-03-24,4
9,6,882-04-4208,2023-01-08,5
42,3,149-56-8054,2023-03-24,1
84,6,882-59-8133,2023-02-22,4
87,3,218-25-8692,2023-05-14,1
61,2,192-53-3399,2023-01-14,4
79,5,726-34-2941,2023-03-30,2
22,4,170-55-5798,2023-04-14,3
25,3,469-02-5373,2023-04-05,5
58,6,142-32-1323,2023-01-07,3
33,1,819-66-7426,2023-02-19,4
32,4,800-50-2700,2023-01-05,3
51,3,719-66-9225,2023-04-05,1
55,4,524-63-7065,2023-04-16,4
73,1,854-13-6452,2023-03-09,1
72,1,877-20-6016,2023-02-07,2
33,2,552-95-8006,2023-03-06,1
82,4,241-26-3924,2023-03-26,3
91,3,421-71-5254,2023-03-07,2
8,3,717-94-6077,2023-03-22,4
85,2,548-65-8434,2023-01-22,1
16,6,209-65-1532,2023-01-20,2
94,5,650-05-4221,2023-04-08,4
81,5,843-60-6775,2023-04-21,3
52,2,509-84-8428,2023-01-28,5
31,2,467-69-5646,2023-04-13,1
92,4,664-46-8413,2023-03-26,2
